ResponseID,age,gender,whereareyoufrom,timelisteningtomusic,genderrep,idealgenderrep,menrep,womenrep,lyrics,misogynistlyrics,feministlyrics,genderrepimportant,politicallyrics,condition,Q1,Q2,Q3,Q4,Q5,Q6,Q7,The_man,Roar,NotReady_TMN,Strongeer,YouDont_om,Ladies_first,GoodOl_BC,KeepYa_HU,Grown_woman,Venom,TheLucky_one,LastFriday_night,WideOpen_spaces,Work_bitch,ThePartys_over,Detrim_stable,Rainbow,Ghetto_gospel,Schoolin_life,Introvert
R_PzENd3ulFkDeGat,2,Female,1,3,6,5,4,4,6,5,5,1,2,Feminist Condition,2.8,2,2.2,2,2.2,3.6,2.6,NA,2.571428571,2.142857143,NA,NA,3.142857143,2.857142857,NA,NA,1.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_uyyVbUilsCPdJdf,2,Female,2,3,5,7,5,5,6,6,7,5,4,Neutral Condition,4.4,4.6,5,5,4.6,2.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.428571429,5.285714286,NA,4.571428571,NA,NA,NA,4.142857143,2.571428571,NA
R_25FLZuxIuDgI6ek,3,Female,1,2,5,6,3,3,6,6,5,5,2,Neutral Condition,5.2,3.8,3.8,3.8,3.8,4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.142857143,NA,4.285714286,3.857142857,4,NA,NA,3.571428571
R_Y6smtFJyLhksbCh,2,Female,1,3,1,7,1,5,7,7,4,5,3,Feminist Condition,6.8,5.2,4.2,4,6.2,7,7,5.428571429,4.571428571,4,NA,NA,NA,NA,5.285714286,NA,5.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_T612ZI7bOzvhx3H,2,Male,1,4,4,6,2,2,6,7,5,3,2,Neutral Condition,4.8,4.8,4.4,3.8,4.6,2.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.285714286,4.571428571,3.714285714,3.714285714,4.285714286,NA,NA,NA,NA
R_3lSb3av1XTovXoQ,3,Female,1,2,6,6,2,2,5,6,4,2,2,Neutral Condition,6,6,4,4.4,4.2,6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.714285714,NA,4.714285714,NA,4.285714286,NA,4.142857143,NA,3.714285714,NA
R_1BORCRYGZdQlfnJ,2,Female,1,1,3,7,1,1,6,7,2,6,2,Feminist Condition,5,2.4,3.2,4.8,4.4,3.6,3.8,NA,NA,NA,3,4.285714286,3.857142857,3.857142857,NA,4.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2Ea77vNQgvlPdr0,2,Female,1,4,1,7,1,5,7,6,4,6,2,Feminist Condition,7,6,6.4,6.6,7,1.6,6.6,6.142857143,NA,NA,5.285714286,6.142857143,NA,6.285714286,NA,5.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2w5KS4nlWoVQnIm,2,Male,4,2,6,7,4,4,6,3,3,2,1,Feminist Condition,6.2,2.6,5.4,1.2,6.8,1.4,5.4,NA,4.285714286,NA,4,NA,NA,3.714285714,4.285714286,4.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1IoqygfKA9ODXCy,2,Male,2,2,2,3,1,1,7,2,5,1,6,Neutral Condition,5,3.4,3.2,4.2,5.4,1.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.857142857,NA,3.142857143,2,NA,4.142857143,NA,NA,4.857142857,NA
R_2TC33WVJFSQMi5T,2,Male,1,1,5,6,2,2,6,6,4,4,3,Neutral Condition,2.8,4.8,4.4,3.6,4.8,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,NA,NA,3.428571429,NA,3.714285714,4.857142857,NA,3.142857143
R_ehx9jls57GtDNBv,3,Male,1,4,2,7,2,4,5,7,6,6,4,Feminist Condition,4.6,2.2,3.6,2.2,3.6,2.4,4.4,2.857142857,NA,2.857142857,NA,3.714285714,3.857142857,NA,NA,NA,3.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_RVpN2MVnsd3h0Rj,3,Female,1,1,1,6,1,5,6,7,2,5,4,Neutral Condition,6.2,5.2,5.4,5.6,6,1.6,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.714285714,4.714285714,4.428571429,5.142857143,NA,NA,4.428571429,NA,NA
R_2AYXdSktoEjlzx4,2,Female,1,4,2,3,5,6,5,6,4,3,5,Feminist Condition,6,3.4,4.8,4.8,6.2,1.8,5.8,NA,4.142857143,3.714285714,NA,NA,5.142857143,NA,5.714285714,NA,4.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_xme1ds2TMMUf47D,2,Male,1,3,2,7,4,4,7,6,6,6,7,Neutral Condition,5,4.6,4,3.6,4,2.8,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.857142857,NA,4,3.571428571,NA,4.285714286,NA,NA,NA,4
R_2aCzoW3AxpZOyZG,2,Female,1,2,5,6,2,2,7,7,5,5,6,Feminist Condition,6,5.4,5.4,5.4,6.4,1.2,5.2,NA,4.285714286,5.142857143,5.285714286,NA,NA,NA,5.285714286,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3qvwRdo8cRs2EbH,2,Female,1,3,3,7,5,6,6,6,7,6,1,Feminist Condition,5.6,4.4,4,5.6,5,2.8,6.4,4.428571429,NA,NA,NA,5.428571429,5.285714286,3.857142857,NA,NA,5.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1pFmmiHdsnOf0l6,2,Female,1,3,6,7,1,2,6,7,6,5,5,Neutral Condition,4,5.2,4,3.4,4.2,3.2,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.857142857,4.571428571,NA,4,NA,3.571428571,NA,4.571428571,NA
R_bgELfJInKhlpGP7,2,Female,1,3,2,7,1,1,5,5,3,5,3,Neutral Condition,5.2,5.4,5,5,5.4,2.2,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.428571429,5.571428571,NA,NA,4.428571429,5,3.571428571,NA
